Statment,Relevant?,Condition
" 'An overview of the current actual extents to which the securities are lent is available on the Management Company website  funds.deutscheam.com/lu.Securities lending transactions may be imple-mented for the assets of the fund provided (i) that their volume is always kept at an appro-priate level or that it is possible to demand the return of the securities lent in a manner that enables the fund to meet its redemption obligations at all times and (ii) that these trans-actions do not jeopardize the management of the fund™s net assets in accordance with its investment policy.',",N,0
" 'The risks associated with these transactions shall be controlled within the framework of the risk management pro-cess of the Management Company.The fund may only enter into securities lend-ing transactions provided that it complies with the following rules:(i) The fund may only lend securities through a standardized system organized by a recog-nized clearing institution or through a first class financial institution subject to prudent supervision rules which are recognized by the CSSF as equivalent to those laid down in Community law and specializing in this type of transaction.',",N,0
" '(ii) The borrower must be subject to prudent supervision rules considered by the CSSF as equivalent to those prescribed by Community law.',",N,0
" '(iii) The counterparty risk vis-à-vis a single counterparty (which, for the avoidance of doubt, may be reduced by the use of collateral) arising from one or more securi-ties lending transaction(s) may not exceed 10% of the assets of the fund when the counterparty is a financial institution falling within article 41 (1) (f) of the Law of 2010, or 5% of its assets in all other cases.The Management Company shall disclose the global valuation of the securities lent in the annual and semiannual reports for the fund.Securities lending may also be conducted syn-thetically (?synthetic securities lending?).',",Y,1
" 'In a synthetic securities loan, a security contained in the fund is sold to a counterparty at the cur-rent market price.',",N,0
" 'The sale is, however, subject to the condition that the fund simultaneously receives from the counterparty a securitized unleveraged option giving the fund the right to demand delivery at a later date of securi-ties of the same kind, quality and quantity as the sold securities.',",N,0
" 'The price of the option (the ?option price?) is equal to the current market price received from the sale of the securi-ties less (a) the securities lending fee, (b) the income (e.g., dividends, interest payments, corporate actions) from the securities that can be demanded back upon exercise of the option and (c) the exercise price associated with the option.',",N,0
" 'The option will be exercised at the exer-cise price during the term of the option.',",N,0
" 'If the security underlying the synthetic securities lending is to be sold during the term of the option in order to implement the investment strategy, such a sale may also be executed by selling the option at the then prevailing market price less the exercise price.',",N,0
" 'Securities lending transactions may also be entered into with respect to individual unit classes, taking into account their respective specific characteristics and/or investor pro-files, with any right to income and collateral under such securities lending transactions arising at the level of the relevant unit class.b) Repurchase agreements Unless otherwise provided for in the special section below, the fund may (i) enter into repurchase agreement transactions which consist of the purchase and sale of securities with a clause reserving the seller the right or the obligation to repurchase from the buyer the securities sold at a price and term spec-ified by the two parties in their contractual arrangement and (ii) enter into reverse repur-chase agreement transactions, which consist of a forward transaction at the maturity of which the seller (counterparty) has the obli-gation to repurchase the securities sold and the fund the obligation to return the securities received under the transaction (collectively, the ?repurchase agreements?).',",N,0
" 'Those trans-actions may be entered into for one or more of the following aims: (i) to achieve additional income and (ii) as a short-term secured finan-cial investment.',",N,0
" 'Within the framework of these transactions, generally up to 50% of the secu-rities held in the fund may be transferred to a pledgee against payment of a fee (in the case of repurchase agreements) and securities may be purchased in cash under repurchase agree-ments within the framework of the relevant valid investment limits (in the case of reverse repurchase agreements).',",N,0
" 'However, the Man-agement Company reserves the right, depend-ing on the market demand, to also transfer up to 100% of the securities held in the fund to a pledgee against payment of a fee (in the case of repurchase agreements) and to purchase securities in cash under repurchase agree-ments within the framework of the relevant valid investment limits (in the case of reverse repurchase agreements).',",N,0
" 'Details on the portion of the managed assets that it is anticipated will be used in these trans-actions may be requested from the Manage-ment Company.The fund can act either as buyer or seller in repurchase agreement transactions or a series of continuing repurchase agreement transactions.',",N,0
" 'Its involvement in such trans-actions is, however, subject to the following rules:(i) The fund is only permitted to buy or sell securities as part of a repurchase agree-ment provided the counterparty to this transaction is subject to prudential super-vision rules considered by CSSF as equiva-lent to those laid down in Community law.',",N,0
" '(ii) The counterparty risk vis-à-vis a single counterparty (which, for the avoidance of doubt, may be reduced by the use of collateral) arising from one or more repur-chase agreements may not exceed 10% of the assets of the fund when the coun-terparty is a financial institution falling within article 41 (1) (f) of the Law of 2010, or 5% of its assets in all other cases.',",N,0
" '(iii) During the term of a repurchase agree-ment in which the fund acts as buyer, the fund is only permitted to sell the securi-ties which are the subject of the contract after the counterparty has exercised its right to repurchase these securities or after the deadline for the repurchase has expired, unless the fund has other means of coverage.',",N,0
" '(iv) The securities purchased by the fund as part of repurchase agreements must meet the investment policy and invest-ment restrictions of the fund and must be limited to: Œshort-term bank certificates or money market instruments as defined in Direc-tive 2007/16/EC of March 19, 2007; Œbonds issued or guaranteed by a member state of the OECD or by their local authorities or by supranational institutions and authorities on an EU, regional or international level; Œunits of a UCI investing in money mar-ket instruments, calculating a daily net asset value and which have a rat-ing of AAA or its equivalent; Œbonds issued by non-governmental issuers offering an adequate liquidity, and Œequities listed or traded on a regu-lated market of a member state of the European Union or on a stock exchange of a member state of the OECD, provided that these equities are included in a major index.The Management Company shall disclose the total amount of the open repurchase agree-ment transactions on the date of reference of its annual and semiannual reports.Repurchase agreement transactions may also be entered into with respect to individual unit classes, taking into account their respective specific characteristics and/or investor pro-files, with any right to income and collateral under such repurchase agreement transac-tions arising at the level of the relevant unit class.8 Selection of counterpartiesOTC derivative transactions, including total return swaps, securities loans and repurchase transac-tions may only be concluded with credit institu-tions or financial services institutions on the basis of standardized master agreements.',",N,0
" 'The counter-parties must be subject to ongoing supervision by a public body, be financially sound and have an organizational structure and resources necessary for the services they are to provide.',",N,0
" 'In general, all counterparties have their headquarters in mem-ber countries of the Organisation for Economic Co-operation and Development (OECD), the G20 or Singapore.',",N,0
" 'An additional requirement is that the counterparty itself or its parent company has an investment-grade rating from a leading rating agency.Collateral management for transactions with OTC derivatives and techniques for efficient portfolio managementFor transactions with OTC derivatives and for reverse repurchase agreement transactions, the fund may receive collateral to reduce the coun-terparty risk.',",N,0
" 'Within the scope of its securities lending transactions, the fund must receive col-lateral, the value of which, during the duration of the agreement, must be equal to at least 90% of the global valuation of the securities lent (taking into account interest, dividends, other eventual rights and any agreed discounts or minimum transfer amounts).As a guarantee for the obligations, the fund can accept all collateral that corresponds to the reg-ulations of CSSF circulars 08/356, 11/512 and 13/559.I.',",N,0
" 'In the case of securities lending, such collat-eral must be received prior to or simultane-ously with the transfer of the securities lent.',",N,0
" 'When the securities are lent through inter-mediaries, the transfer of the securities lent may be effected prior to receipt of the col-lateral, if the relevant intermediary ensures proper completion of the transaction.',",N,0
" 'Said intermediary may provide collateral in lieu of the borrower.II.',",N,0
" 'Collateral for securities lending transactions, reverse repurchase agreement transac-tions and transactions with OTC derivatives (except currency forward transactions) must be provided in one of the following forms:  Œliquid assets such as cash, short-term bank deposits, money market instru-ments as defined in Directive 2007/16/EC of March 19, 2007, letters of credit and guarantees at first demand issued by a first class credit institution not affiliated to the counterparty, or bonds issued or guaranteed by a member state of the OECD or by their local authorities or by supranational institutions and bod-ies of a community, regional or world-wide scope (regardless of their term to maturity);  Œunits of a UCI investing in money market instruments, calculating a daily net asset value and which have a rating of AAA or its equivalent; Œunits issued by UCITS investing mainly in bonds/equities mentioned in the follow-ing two indents; Œbonds (irrespective of their residual term to maturity) issued or guaranteed by first class issuers with adequate liquidity; or  Œequities admitted to or traded on a reg-ulated market of a member state of the European Union or on a stock exchange of a member state of the OECD, pro-vided that these equities are included in a major index.III.',",N,0
" 'The collateral given under any form other than cash or units of a UCI/UCITS shall be issued by an entity not affiliated to the counterparty.IV.',",N,0
" 'When the collateral given in the form of cash exposes the fund to a credit risk vis-à-vis the trustee of this collateral, such expo-sure shall be subject to the 20% limitation as laid down in article 43 (1) of the Law of 2010.',",N,0
" 'Moreover such cash collateral shall not be held in safekeeping by the counterparty unless it is legally protected from the conse-quences of default of the latter.V.',",N,0
" 'The collateral given in a form other than cash shall not be held in safekeeping by the counterparty, except if it is adequately segre-gated from the latter™s own assets.VI.',",N,0
" 'Collateral that is provided must be adequately diversified with respect to issuers, countries and markets.',",N,0
" 'If collateral fulfills a series of criteria such as standards for liquidity, valua-tion, credit standing of the issuer, correlation and diversification, it can be offset against the gross commitment of the counterparty.',",N,0
" 'If collateral is offset, its value can be reduced by a percentage (a ?discount? or ?haircut?) depending on its price volatility.',",N,0
" 'This discount is intended to compensate for short-term fluctuations in the value of the commitment and the collateral.',",N,0
" 'Discounts are generally not applied to cash collateral.The criterion of adequate diversification in relation to issuer concentration is deemed fulfilled if the fund, as part of efficient port-folio management or for transactions with OTC derivatives, receives from the counter-party a collateral basket whereby the total value of the open positions with respect to a particular issuer does not exceed 20% of the net asset value.',",N,0
" 'When the fund has different counterparties, the different collateral bas-kets should be aggregated to calculate the 20% limit for the total value of open posi-tions with respect to a single issuer.VII.',",N,0
" 'For assets that it accepts as collateral, the Management Company follows a strategy for valuing the discounts (?haircut strat-egy?).',",N,0
" 'The discounts applied to the collateral are based on:a) the creditworthiness of the counterparty, b) the liquidity of the collateral,c) the price volatility of the collateral,d) the credit standing of the issuer and/ore) the country or market in which the collat-eral is traded.For collateral furnished in the context of OTC derivatives transactions, a discount of at least 2% is generally applied, e.g., for short-term government bonds with excellent credit qual-ity.',",N,0
" 'The value of such collateral must therefore exceed the value of the secured receivable by at least 2% and thereby reach a degree of overcollateralization of at least 102%.',",N,0
" 'A corre-spondingly higher discount of currently up to 33% (and therefore a higher degree of over-collateralization of 133%) is set for securities with longer maturities or for securities of issu-ers with lower ratings.',",N,0
" 'Overcollateralization in the context of OTC derivatives transactions is generally within the following range:OTC derivatives transactions Overcollateralization  102% to 133%In the context of securities lending trans-actions, when the issuer has an excellent credit standing and the credit quality of the collateral is excellent, the collateral may occasionally be recognized in full, whereas higher discounts may be applied for equities and other securities with a lower credit qual-ity, taking into account the credit standing of the counterparty.',",N,0
" 'Overcollateralization in the context of securities lending transactions generally takes place according to the fol-lowing gradation:Securities lending transactionsDegree of overcollateralization  for government bonds with  excellent credit quality  103% to 105%Degree of overcollateralization  for low investment grade  government bonds  103% to 115%Degree of overcollateralization  for corporate bonds with  excellent credit quality  105%Degree of overcollateralization  for low investment grade  corporate bonds  107% to 115%Degree of overcollateralization  for blue chips and mid caps  105%The discounts used are checked for their adequacy at regular intervals, at least yearly, and adjusted accordingly if necessary.VIII.',",N,0
" 'The fund (or its delegates) shall conduct a valuation of the collateral received on a daily basis.',",N,0
" 'In case the value of the collateral already granted appears to be insufficient in comparison with the amount to be covered, the counterparty shall provide additional col-lateral at very short notice.',",N,0
" 'If appropriate, safety margins shall apply in order to take into consideration exchange risks or market risks inherent to the assets accepted as collateral.Collateral that is admitted for trading on exchanges or admitted to, or included in, 9 another organized market is valued at the previous day™s closing price or the closing price of the same day, if the valuation is already available.',",N,0
" 'The valuation is carried out in order to obtain a value for the collateral that is as close as possible to the market value.IX.',",N,0
" 'The collateral is held in custody by the Depositary or a sub-depositary of the Depositary.',",N,0
" 'Cash collateral in the form of bank balances may be held in blocked cash accounts with the Depositary of the fund or at another institution with the Depositary™s approval.',",N,0
" 'The fund shall ensure that it is able to claim its rights on the collateral in case of the occur-rence of an event requiring the execution thereof, meaning that the collateral shall be available at all times, either directly or through the intermediary of a first class financial insti-tution or a wholly-owned subsidiary of this institution, in such a manner that the fund is able to appropriate or realize the assets given as collateral, without delay, if the counter-party does not comply with its obligation to return the securities lent.X.',",N,0
" 'Cash collateral may only be reinvested in government bonds with high credit ratings or in money market funds with a short matu-rity structure.',",N,0
" 'In addition, cash collateral can be invested with a credit institution, in the form of a reverse repurchase agreement as long as the return transfer of the accumu-lated bank balance is guaranteed at all times.',",N,0
" 'Collateral in the form of securities, may not, however, be sold or otherwise given as a security or pledged.XI.',",N,0
" 'A fund receiving collateral for at least 30% of its assets should examine the associated risk within the framework of regular stress tests that should be carried out under nor-mal and exceptional liquidity conditions so that the consequences of changes to the market value and the liquidity risk attached to the collateral can be assessed.',",N,0
" 'The strat-egy for liquidity stress tests should contain provisions for the following aspects:a) concept for analyzing the stress test sce-nario, including calibration, certification and sensitivity analysis;b) empirical approach for estimating con-sequences, including the back-testing of liquidity risk assessments;c) reporting frequency and reporting limits/loss tolerance threshold(s);d) measures for stemming losses, including haircut strategy and gap risk protection.Use of financial indicesWhere specified in the special section of this sales prospectus, the objective of the investment policy may be to replicate a certain index or a leveraged index.',",N,0
" 'This is subject to the condition that  Œthe composition of the index is sufficiently diversified; Œthe index represents an adequate benchmark for the market to which it refers; Œthe index is published in an appropriate manner.If an index is formed, the frequency of the adjustment of the composition of the index depends on the index to be reproduced.',",N,0
" 'As a rule, the adjustment takes place on a semian-nual, quarterly or monthly basis.',",N,0
" 'The reproduc-tion and adaptation of the index composition may incur costs that can reduce the value of the fund assets.RISK MANAGEMENTThe fund shall include a risk management pro-cess that enables the Management Company to monitor and measure at any time the risk of the positions and their contribution to the overall risk profile of the portfolio.',",N,0
" 'The Management Company monitors the fund in compliance with the requirements of regula-tion 10-04 of the Commission de Surveillance du Secteur Financier (?CSSF?) and the Direc-tives issued from time to time by the Luxem-bourg or European authorities, in particular the CSSF circular 11/512 of May 30, 2011, and the ?Guidelines on Risk Measurement and the Cal-culation of Global Exposure and Counterparty Risk for UCITS? from the Committee of Euro-pean Securities Regulators (CESR/10-788) and CSSF circular 13/559 of February 18, 2013.',",N,0
" 'The Management Company ensures for the fund that the total risk related to derivative financial instru-ments in accordance with article 42 (3) of the Law of 2010, does not exceed 100% of the fund™s net assets and that the market risk of the fund does not exceed the market risk of the reference portfolio, which does not contain derivatives, by more than 200% (in the case of a relative VaR approach) or by more than 20% (in the case of an absolute VaR approach).The risk management approach applied to the fund is detailed in the special section of the sales prospectus for the fund.The Management Company generally strives to ensure that the level of investment of the respec-tive net assets is not increased by more than twice the value of the fund™s assets by the use of derivatives (hereinafter ?leverage effect?), unless otherwise specified in the special section of the sales prospectus.Nevertheless, this leverage effect varies, depend-ing on the market conditions and/or changes to positions (e.g., to hedge the fund against unfavor-able market movements), so that the target mark may be exceeded, despite constant monitoring by the Management Company.In addition, the option to borrow 10% of its net assets is available for the fund, provided that this borrowing is temporary and the borrowing pro-ceeds are not used for investment purposes.An overall increased commitment can thus sig-nificantly increase both the opportunities and the risks associated with an investment (see in par-ticular the risk warnings in the ?Risks connected to derivatives transactions? section).POTENTIAL CONFLICTS OF INTERESTWithin the scope of and in compliance with the applicable procedures and measures for con-flict management, the Management Company, Management Company Management Board Members and Supervisory Board Members, the management, the fund manager, the designated sales agents and persons authorized to carry out the distribution, the Depositary, if applicable the investment advisor, the administrator, the unitholders, as well as all subsidiaries, affiliated companies, representatives or agents of the aforementioned entities and persons (?Associ-ated Persons?) may:1. conduct among themselves or for the fund financial and banking transactions or other transactions such as derivatives, securities lending transactions and securities repur-chase agreement transactions or enter into the corresponding contracts, including those that are directed at the fund™s investments in securities or at investments by an Associated Person in a company or undertaking, such investment being a constituent part of the fund™s assets, or be involved in such contracts or transactions;2. for their own accounts or for the accounts of third parties, invest in units, securities or assets of the same type as the components of the fund and trade in them;3. in their own names or in the names of third parties, participate in the purchase or sale of securities or other assets in or from the fund via the Management Company or jointly with the Management Company or the Depositary or a subsidiary, an affiliated company, repre-sentative or agent of such.Assets of the fund in the form of liquid assets or securities may be deposited with an Associated Person in accordance with the legal provisions governing the Depositary.',",N,0
" 'Liquid assets of the fund may be invested in certificates of deposit issued by an Associated Person or in bank depos-its offered by an Associated Person.',",Y,1
" 'Banking or comparable transactions may also be conducted with or through an Associated Person.',",N,0
" 'Companies in the Deutsche Bank Group and/or employees, representatives, affiliated companies or subsid-iaries of companies in the Deutsche Bank Group (?DB Group Members?) may be counterparties in the Management Company™s derivatives trans-actions or derivatives contracts (?Counterparty?).',",N,0
" 'Furthermore, in some cases a counterparty may be required to evaluate such derivatives transac-tions or derivatives contracts.',",N,0
" 'Such evaluations may constitute the basis for calculating the value of particular assets of the fund.',",N,0
" 'The Management Company is aware that DB Group Members may possibly be involved in a conflict of interest if they act as counterparty and/or provide such informa-tion.',",N,0
" 'The evaluation will be adjusted and carried out in a manner that is verifiable.',",N,0
" 'However, the Management Company believes that such con-flicts can be handled appropriately and assumes that the counterparty possesses the aptitude and competence to perform such evaluations.In accordance with the respective terms agreed, DB Group Members may act as Managing Board Members or Supervisory Board Members, sales 10 agents and sub-agents, the Depositary, sub-de-positary, fund managers or investment advisors, and may offer to provide financial and banking transactions to the Management Company.',",N,0
" 'The Management Company is aware that conflicts of interest may arise due to the functions that DB Group Members perform in relation to the Man-agement Company.',",N,0
" 'In respect of such eventuali-ties, each DB Group Member has undertaken to endeavor, to a reasonable extent, to resolve such conflicts of interest equitably (with regard to the Members™ respective duties and responsibilities), and to ensure that the interests of the Manage-ment Company and of the unitholders are not adversely affected.',",N,0
" 'The Management Company is of the view that DB Group Members possess the required aptitude and competence to perform such duties.The Management Company believes that the interests of the Management Company might conflict with those of the entities mentioned above.',",N,0
" 'The Management Company has taken reasonable steps to avoid conflicts of interest.',",N,0
" 'In the event of unavoidable conflicts of interest, the Management Company will endeavor to manage conflicts of interest fairly and to resolve them in favor of the fund.',",N,0
" 'It is a principle of the Management Company that all appropriate steps be taken to set up organizational structures and to take effective administrative measures, by means of which the respective conflicts can be identified, handled and monitored.',",N,0
" 'In addition, the management of the Management Company is responsible for ensuring that the systems, controls and procedures of the Company are fit to identify, monitor and resolve conflicts of inter-est.',",N,0
" 'For the fund, transactions involving the fund assets may be conducted with or between Asso-ciated Persons, provided that such transactions are in the best interests of the investors.Particular conflicts of interest in relation to the Depositary or sub-depositaries By its own account, the Depositary has adequate structures in order to avoid conflicts of interest.',",N,0
" 'The schedule of responsibilities and the organi-zational structure of the Depositary comply with legal and regulatory requirements and take into account in particular the requirement to avoid conflicts of interest.',",N,0
" 'The conflict of interest policy of the Depositary provides for the use of different methods for avoid-ing conflicts of interest, which are outlined below:a) Control of the flow of information: Specifica-tions regarding confidentiality areas (?Chinese walls?) and how to handle them (forwarding of information within the company in strict com-pliance with the ?need-to-know? principle, access permissions to information and physi-cal access rights to divisions of the company).',",N,0
" 'b) Separate monitoring of relevant persons.c) No harmful dependencies in the compensa-tion system.d) Avoidance of the harmful exertion of influence by one employee over other employees.e) Avoidance of one employee being responsible for various activities, the simultaneous exe-cution of which could give rise to conflicts of interest.If conflicts of interest cannot be avoided, these shall be identified by the Depositary and com-municated to the Management Company.',",N,0
" 'The Depositary will endeavor to resolve unavoidable conflicts of interest while safeguarding the inter-ests of investors.',",N,0
" 'The Depositary has assigned custodianship of the assets in various countries to sub-depositar-ies.',",N,0
" 'The current list of foreign sub-depositaries to which the Depositary has transferred custody of the assets can be viewed in the internet at funds.deutscheam.com/lu.',",N,0
" 'In addition, the sub-depositaries shall submit the three-point declaration at regular intervals.',",N,0
" 'This includes, among other things, a confirmation that the foreign sub-depositary will neither entrust a third party with the effective custody of the deposited securities nor transfer them to a for-eign country without the consent of the domestic Depositary.',",N,0
" 'This means that additional potential conflicts of interest are recognized directly and that the Depositary informs the Management Company of them.',",N,0
" 'In addition to the actual custodianship of the foreign securities by the foreign sub-depositary, who shall abide by the customs and laws of the relevant country of deposit, the foreign sub-de-positary also ensures the redemption of interest, profit-share and earnings certificates as well as of repayable securities on maturity.Furthermore, the sub-depositary forwards on information on the capital measures of the for-eign securities held in custody.The Management Company and the sub-de-positaries can be indirectly or directly associ-ated with one another under company law or in terms of personnel.',",N,0
" 'The partial identity of the companies involved can result in interests and objectives of the persons or companies involved being in conflict or being contradictory due to the lack of separation in terms of space, person-nel and function.',",N,0
" 'Such conflicts of interest with regard to the transfer of the depositary function to individual sub-depositaries result mainly from the following interconnections:  ŒMutual investments: The sub-depositary holds investments in the Management Com-pany or the Management Company holds investments in the sub-depositary.',",N,0
" 'This can lead to mutual influence which could be counter to the objectives of the depositary function.',",N,0
" 'ŒFinancial consolidation: The Management Company and the sub-depositary have joint consolidated financial statements and there-fore common financial interests.',",N,0
" 'This can lead to a conflict between these financial interests and the objectives of the depositary function.',",N,0
" 'ŒJoint management/monitoring: In this case, decisions for the Management Company and the sub-depositary are made by the same persons or supervised by the same persons.',",N,0
" 'This could result in the risk that in individual cases the required objectivity of the decision-makers or monitoring persons is influenced.',",N,0
" 'ŒJoint activities: A sub-depositary could simul-taneously carry out the depositary function as well as the monitoring of portfolio manage-ment or the execution of trading for a fund.',",N,0
" 'This could give rise to the risk that the objec-tivity required in the respective function may be influenced in individual cases.',",N,0
" 'The sub-depositaries listed in the table on the Internet for which ?Variant 2? is specified in rela-tion to conflicts of interest are companies within the Deutsche Bank Group that are affiliated with the Management Company.',",N,0
" 'It cannot be excluded that the contract would have been con-cluded in a different form if a sub-depositary had been involved that is not interconnected under company law or in terms of personnel (see the section ?Potential conflicts of interest?).Additional informationUpon request, the Management Company will provide information to investors on the latest sta-tus of the Depositary and its obligations, on the sub-depositaries as well as potential conflicts of interest in connection with the activities of the Depositary or sub-depositary.',",N,0
" 'MONEY LAUNDERING PREVENTION AND DATA PROTECTIONCombating money launderingThe transfer agent may demand such proof of identity as it deems necessary in order to com-ply with the laws applicable in Luxembourg for combating money laundering.',",N,0
" 'If there is doubt regarding the identity of the investor or if the transfer agent does not have sufficient details to establish the identity, the transfer agent may demand further information and/or documenta-tion in order to be able to unequivocally estab-lish the identity of the investor.',",N,0
" 'If the investor refuses or fails to submit the requested informa-tion and/or documentation, the transfer agent may refuse or delay the transfer of the investor™s data to the Company™s register of unitholders.',",N,0
" 'The information submitted to the transfer agent is obtained solely to comply with the laws for combating money laundering.The transfer agent is, in addition, obligated to examine the origin of money collected from a financial institution unless the financial institution in question is subject to a mandatory proof-of-identity procedure that is the equivalent of the proof-of-identity procedure provided for under Luxembourg law.',",N,0
" 'The processing of subscription applications can be suspended until such a time as the transfer agent has properly established the origin of the money.Initial or subsequent subscription applications for units can also be made indirectly, i.e., via the sales agents.',",N,0
" 'In this case, the transfer agent may dispense with the aforementioned required proof of identity under the following circumstances or under the circumstances deemed to be sufficient in accordance with the money laundering laws applicable in Luxembourg:11  Œif a subscription application is being pro-cessed via a sales agent that is under the supervision of the responsible authorities whose regulations provide for a proof-of-identity procedure for customers that is equivalent to the proof-of-identity proce-dure provided for under Luxembourg law for combating money laundering, and the sales agent is subject to these regulations; Œif a subscription application is being pro-cessed via a sales agent whose parent com-pany is under the supervision of the responsi-ble authorities whose regulations provide for a proof-of-identity procedure for customers that is equivalent to the proof-of-identity pro-cedure provided for under Luxembourg law for combating money laundering, and  Œif the corporate policy or the law applicable to the parent company also imposes the equivalent obligations on its subsidiaries or branches.In the case of countries that have ratified the rec-ommendations of the Financial Action Task Force (FATF), it is assumed that the respective respon-sible supervisory authorities in these countries have imposed regulations for implementing proof of identity procedures for customers on physical persons or legal entities operating in the financial sector and that these regulations are the equiva-lent of the proof of identity procedure required in accordance with Luxembourg law.The sales agents can provide a nominee service to investors that acquire units through them.',",N,0
" 'Investors may decide at their own discretion whether or not to take up this service, which involves the nominee holding the units in its name for and on behalf of investors; the latter are entitled to demand direct ownership of the units at any time.',",N,0
" 'Notwithstand-ing the preceding provisions, the investors are free to make investments directly with the Management Company without taking up the nominee service.Data protectionThe personal data of investors provided in the application forms, as well as the other informa-tion collected within the scope of the business relationship with the Management Company are recorded, stored, compared, transmitted and oth-erwise processed and used (?processed?) by the Management Company, and/or other entities of Deutsche Asset Management, the Depositary and the financial intermediaries of the investors.',",N,0
" 'The data is used for the purposes of account manage-ment, examination of money-laundering activities, determination of taxes pursuant to EU Directive 2003/48/EC on the taxation of interest payments and for the development of business relationships.For these purposes, the data may also be for-warded to businesses appointed by the Manage-ment Company (for example, client communica-tion agents and paying agents).LEGAL STATUS OF INVESTORSThe money invested in the fund is invested by the Management Company in its own name for the collective account of the investors (the ?unithold-ers?) in securities, money market instruments and other permissible assets, based on the prin-ciple of risk-spreading.',",N,0
" 'The money invested in a fund and the assets purchased with the money constitute the fund™s assets, which are kept sep-arate from the Management Company™s own assets.Unitholders as joint owners have an interest in the fund™s assets in proportion to the number of units they hold.',",N,0
" 'Their rights are represented by bearer units and securitized in the form of global certificates.',",N,0
" 'All fund units have the same rights.',",N,0
" 'UNITSBearer units represented by global certificatesThe Management Company may resolve to issue bearer units that are represented by one or sev-eral global certificates.These global certificates are issued in the name of the Management Company and deposited with the clearing agents.',",N,0
" 'The transferability of the bearer units represented by a global certificate is subject to the respectively applicable laws, and to the regulations and procedures of the clear-ing agent undertaking the transfer.',",N,0
" 'Investors receive the bearer units represented by a global certificate when they are posted to the securities accounts of their financial intermediaries, which in turn are held directly or indirectly with the clearing agents.',",N,0
" 'Such bearer units represented by a global certificate are transferable according to and in compliance with the provisions con-tained in this sales prospectus, the regulations that apply on the respective exchange and/or the regulations of the respective clearing agent.',",N,0
" 'Unitholders that do not participate in such a sys-tem can transfer bearer units represented by a global certificate only via a financial intermediary participating in the settlement system of the cor-responding clearing agent.Payments of distributions for bearer units repre-sented by global certificates take place by way of credits to the accounts at the relevant clear-ing agent of the financial intermediaries of the unitholders.All units within a unit class have the same rights.',",N,0
" 'The rights of unitholders in various unit classes within the fund may differ from one another, pro-vided this has been clarified in the sales docu-ments for the respective units.',",N,0
" 'The different orga-nization of the various asset classes is provided in the respective special section of the sales pro-spectus.',",N,0
" 'Units are issued by the Company imme-diately after the net asset value per unit has been received for the benefit of the Company.Calculation of net asset valueIn order to calculate the net asset value (NAV) per unit, the value of the assets belonging to the fund less its liabilities is calculated on each valuation date and the result is divided by the number of units outstanding.',",N,0
" 'Particulars on the calculation of the net asset value per unit and on asset valuation are provided in the management regulations.At this time, the Management Company and the Depositary will refrain from calculating the NAV per unit on public holidays that are bank busi-ness days in one of the countries applicable to the valuation date, as well as on December 24 and December 31 of each year.',",N,0
" 'Any calculation of the net asset value per unit that deviates from this specification will be published in appropri-ate newspapers, as well as on the Internet at  funds.deutscheam.com/lu.Issue of unitsFund units are issued on each valuation date at their net asset value per unit plus the initial sales charge payable by the purchaser for the benefit of the Management Company.',",N,0
" 'The initial sales charge may be retained in whole or in part by intermediaries as remuneration for sales ser-vices.',",N,0
" 'Where units are issued in countries where stamp duties or other charges apply, the issue price increases accordingly.',",N,0
" 'Fund units may also be issued as fractional units, with up to three places after the decimal point.',",N,0
" 'Unit fractions are rounded up or down to the nearest thousandth.',",N,0
" 'Such rounding may be to the benefit of either the respective unitholder or the fund.Newly subscribed units are only issued to the investor upon receipt of payment by the Deposi-tary or the approved correspondent banks.',",N,0
" 'From a bookkeeping standpoint, however, the corre-sponding units are already taken into account in the calculation of the net asset value on the value date following the corresponding securities settlement, and can be canceled until receipt of payment.',",N,0
" 'Insofar as an investor™s units must be canceled due to failure to pay or delayed payment of these units, it is possible for the fund to incur a loss in value.',",N,0
" 'The Management Company is authorized to issue new units continuously.',",N,0
" 'Nevertheless, the Management Company reserves the right to suspend or permanently discontinue the issue of units.',",N,0
" 'In this instance, payments already made will be reimbursed immediately.',",N,0
" 'Unitholders will be informed immediately of the suspension and resumption of the issue of units.Units can be purchased from the Management Company and via the paying agents.',",N,0
" 'If the Man-agement Company no longer issues new units, it is only possible to purchase units from existing holders.An example of calculating the issue price is pre-sented below:Net assets  EUR 1,000,000.00÷  Number of units  outstanding on the  reference date  10,000.00Net asset value per unit EUR 100.00+  Initial sales charge  (e.g., 5%) EUR 5.00Issue price EUR 105.00Rejection of subscription applicationsThe Management Company reserves the right to reject subscription applications for units, in whole or in part, at its own discretion and without spec-ifying a reason.',",N,0
" '12 The Management Company further reserves the right to retain any potential excess subscription amounts until final settlement.',",N,0
" 'If an application is rejected in whole or in part, the subscription amount or the corresponding balance is paid back without interest to the first-named appli-cant, at the risk of the person(s) entitled thereto, immediately following the decision to reject the application.Redemption of unitsFund units are redeemed on each valuation date at their net asset value less the redemption fee payable by the unitholder.',",N,0
" 'A redemption fee is not charged at this time.',",N,0
" 'Where units are redeemed in countries where stamp duties or other charges apply, the redemption price decreases accordingly.',",N,0
